My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
077,1.203996320 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.204996320 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.205996400 ms,0,1,0,0,1,0,0,1,0,1,0
3EB,1.206996320 ms,1,1,0,1,0,1,1,1,1,1,0
29E,1.207996400 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.208996400 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.209996400 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.210996400 ms,0,1,0,0,1,0,0,1,0,1,0
3EB,1.211996240 ms,1,1,0,1,0,1,1,1,1,1,0
29E,1.212996240 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.213996240 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.214996240 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.215996320 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.216996400 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.217996400 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.218996480 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.219996560 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.220996640 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.221996640 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.222996640 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.223996640 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.224996640 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.225996560 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.226996480 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.227996480 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.228996400 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.229996320 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.230996320 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.231996160 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.232996080 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.233996000 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.234995920 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.235996000 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.236996000 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.237996000 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.238996000 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.239996080 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.240996160 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.241996080 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.242996080 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.243996080 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.244996080 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.245996080 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.246996080 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.247996080 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.248996080 ms,1,1,1,0,1,1,1,0,0,0,0
